id,MsgSvrID,type_name,is_sender,talker,room_name,content,CreateTime,group
4,7797611505031249564,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""@爱就是这样 啥意思""}",2024-07-01 13:46:07,零一万物大模型开放平台社区
5,1378754171435629465,文本,0,dgfgsdfg,44582323162@chatroom,"{""src"": """", ""msg"": ""@小蚁 直接用火车头写出来""}",2024-07-01 14:14:37,零一万物大模型开放平台社区
6,3452930787639323527,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""@爱就是这样 不明白，火车头不是抓数据的吗，怎么还能写软件""}",2024-07-01 14:15:29,零一万物大模型开放平台社区
7,8276701381206880255,文本,0,dgfgsdfg,44582323162@chatroom,"{""src"": """", ""msg"": ""Php接口嘛""}",2024-07-01 14:48:02,零一万物大模型开放平台社区
8,6974147940176036301,文本,0,dgfgsdfg,44582323162@chatroom,"{""src"": """", ""msg"": ""这样我免得搬运""}",2024-07-01 14:48:24,零一万物大模型开放平台社区
9,3589219839827464192,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""@爱就是这样 ？？？你是说你想用火车头抓数据，然后用php处理？？？""}",2024-07-01 14:49:45,零一万物大模型开放平台社区
10,4990171115251889444,文本,0,dgfgsdfg,44582323162@chatroom,"{""src"": """", ""msg"": ""不是，直接ai写，火车头也有这个ai写，但是不行他的接口很多地方屏蔽""}",2024-07-01 14:50:48,零一万物大模型开放平台社区
11,9126082025507742558,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""你说的火车头，和我说的火车头是不是同一个概念？？？""}",2024-07-01 14:52:28,零一万物大模型开放平台社区
12,4054217426664741687,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""我说的火车头是一个抓数据的软件""}",2024-07-01 14:52:40,零一万物大模型开放平台社区
13,1697712217952602311,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""youngking\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-01 15:34:13,零一万物大模型开放平台社区
14,64673963440169321,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""Dilyar\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-01 20:35:43,零一万物大模型开放平台社区
15,3961048188137236868,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""零一万物@零一万物\""邀请\""Hahn\""加入了群聊""}",2024-07-02 10:35:43,零一万物大模型开放平台社区
16,5968451451756099014,文本,0,Z454376309,44582323162@chatroom,"{""src"": """", ""msg"": ""api调用 503 了""}",2024-07-02 10:35:48,零一万物大模型开放平台社区
17,1601585488860836544,文本,0,Z454376309,44582323162@chatroom,"{""src"": """", ""msg"": ""恢复了""}",2024-07-02 10:47:58,零一万物大模型开放平台社区
18,7258021190339922833,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""李航\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-02 11:48:50,零一万物大模型开放平台社区
19,931210754852340723,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""ZK\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-02 15:39:50,零一万物大模型开放平台社区
20,7443026696766580774,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""吴冰\""邀请\""陈俊文\""加入了群聊""}",2024-07-02 16:20:42,零一万物大模型开放平台社区
21,8500081429211452693,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""Eric\""邀请\""泠轻子\""加入了群聊""}",2024-07-02 23:48:53,零一万物大模型开放平台社区
22,4312548042960827146,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""XY\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-03 08:35:53,零一万物大模型开放平台社区
23,1327621536904157494,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""XY\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-03 10:06:39,零一万物大模型开放平台社区
24,5248410114830593909,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""长歌行\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-03 15:06:03,零一万物大模型开放平台社区
25,695731318869266802,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""bruce\""通过扫描\""零一万物@零一万物\""分享的二维码加入群聊""}",2024-07-03 15:59:40,零一万物大模型开放平台社区
26,8521222357708770253,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""小狐狸 零一万物\""邀请\""miracle\""加入了群聊""}",2024-07-03 16:56:18,零一万物大模型开放平台社区
27,9041465177387077508,系统通知,0,wxid_rsl3zo9rrh6221,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""bruce\"" 撤回了一条消息</revokemsg>""}",2024-07-03 17:07:00,零一万物大模型开放平台社区
28,5729611805225798761,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""Carl\""通过扫描\""bruce\""分享的二维码加入群聊""}",2024-07-03 17:09:18,零一万物大模型开放平台社区
29,2358615291449575841,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""零一万物@零一万物\""邀请\""yongfu_xue\""加入了群聊""}",2024-07-03 18:11:57,零一万物大模型开放平台社区
30,3706934876599008567,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""可以帮我看个问题吗？我用autogen生成长文本时出现了截断，然后设置了max_tokens为15000，还是被截断""}",2024-07-03 18:45:41,零一万物大模型开放平台社区
31,9065571468612561735,系统通知,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""yongfu_xue\"" 撤回了一条消息</revokemsg>""}",2024-07-03 18:45:47,零一万物大模型开放平台社区
32,8525924559668541812,系统通知,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""yongfu_xue\"" 撤回了一条消息</revokemsg>""}",2024-07-03 18:46:10,零一万物大模型开放平台社区
33,3532452558478100059,带有引用的文本消息,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""你撤回干啥\n\n[引用](2024-07-03 18:45:41)yongfu_xue:可以帮我看个问题吗？我用autogen生成长文本时出现了截断，然后设置了max_tokens为15000，还是被截断""}",2024-07-03 18:47:04,零一万物大模型开放平台社区
34,2751192053104873428,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""yi_large_config = {\""config_list\"": [\n    {\n        \""model\"": \""yi-large\"",\n        \""api_key\"": \""\"",\n        \""base_url\"": \""https://api.lingyiwanwu.com/v1\"",\n        \""api_type\"": \""openai\"",\n\t\t\""max_tokens\"": 15000\n\n    }\n],\n}\n\n\nyi_large_config = {\""config_list\"": [\n    {\n        \""model\"": \""yi-large\"",\n        \""api_key\"": \""\"",\n        \""base_url\"": \""https://api.lingyiwanwu.com/v1\"",\n        \""api_type\"": \""openai\"",\n\n    }\n],\n\t\""max_tokens\"": 15000\n}""}",2024-07-03 18:47:11,零一万物大模型开放平台社区
35,6633914563526454454,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""这两个配置都试了，都不行""}",2024-07-03 18:47:24,零一万物大模型开放平台社区
36,4200152464597486888,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""看不到密钥怎么测试""}",2024-07-03 18:47:30,零一万物大模型开放平台社区
37,6860803444748453748,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""可以私发你吗？""}",2024-07-03 18:48:06,零一万物大模型开放平台社区
38,8102106211540626414,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""麻烦你加下我吧，我加不了你""}",2024-07-03 18:48:51,零一万物大模型开放平台社区
39,7087577964615252307,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""你要确定token究竟多大""}",2024-07-03 18:48:57,零一万物大模型开放平台社区
40,2462313412609364154,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""总长度5000左右，肯定不会到10000""}",2024-07-03 18:49:40,零一万物大模型开放平台社区
41,601780657109283894,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""总长度包括输入和new tokens""}",2024-07-03 18:49:56,零一万物大模型开放平台社区
42,5641184841104355997,系统通知,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""小蚁\"" 撤回了一条消息</revokemsg>""}",2024-07-03 18:51:01,零一万物大模型开放平台社区
43,9004726962428793242,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""不要主观，你找个测试长度的地方测试一下，不一定必须是是阿里的""}",2024-07-03 18:51:30,零一万物大模型开放平台社区
44,857542345339836597,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""刚统计了字符长度，1300多个字""}",2024-07-03 18:52:30,零一万物大模型开放平台社区
45,1503009801225299324,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""这个是输入的长度""}",2024-07-03 18:52:46,零一万物大模型开放平台社区
46,257229612123611469,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""你截图，你怎么测试的""}",2024-07-03 18:53:01,零一万物大模型开放平台社区
47,6927265223762634229,图片,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": ""FileStorage\\MsgAttach\\b5930dd868c71aa0c979d1da9cf6c38e\\Image\\2024-07\\96b56a1186b1a5c020cb9dbc1a8805ba.dat"", ""msg"": ""图片""}",2024-07-03 18:53:22,零一万物大模型开放平台社区
48,5633622200406601371,系统通知,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""yongfu_xue\"" 撤回了一条消息</revokemsg>""}",2024-07-03 18:53:40,零一万物大模型开放平台社区
49,4515301731234754778,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""晕""}",2024-07-03 18:53:41,零一万物大模型开放平台社区
50,2637197274546859859,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""我记得百度还是Google有测试token长度的，火山好像也有""}",2024-07-03 18:54:25,零一万物大模型开放平台社区
51,3921841467066657327,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""用token统计长度，只会比字符长度短吧""}",2024-07-03 18:55:12,零一万物大模型开放平台社区
52,2471040972055997185,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""你找了看看再说""}",2024-07-03 18:55:31,零一万物大模型开放平台社区
53,2084128036999589292,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""好的""}",2024-07-03 18:56:00,零一万物大模型开放平台社区
54,196615764014572727,文本,0,25984984954194761@openim,44582323162@chatroom,"{""src"": """", ""msg"": ""出于安全问题的考虑，大家注意不要把API Key给到他人哈""}",2024-07-03 18:59:45,零一万物大模型开放平台社区
55,8214068429150079018,图片,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": ""FileStorage\\MsgAttach\\b5930dd868c71aa0c979d1da9cf6c38e\\Image\\2024-07\\875b5fd8641fd9a7c68c1bdad75c09fe.dat"", ""msg"": ""图片""}",2024-07-03 18:59:58,零一万物大模型开放平台社区
56,4396020591696670271,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""用的百度的，743个token""}",2024-07-03 19:00:09,零一万物大模型开放平台社区
57,6515353636007636542,系统通知,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""<revokemsg>\""yongfu_xue\"" 撤回了一条消息</revokemsg>""}",2024-07-03 19:00:18,零一万物大模型开放平台社区
58,653910380077631541,系统通知,0,系统,44582323162@chatroom,"{""src"": """", ""msg"": ""\""吴冰\""邀请\""郭海波\""加入了群聊""}",2024-07-03 19:00:29,零一万物大模型开放平台社区
59,8636099281980245148,文本,0,wxid_3040050400411,44582323162@chatroom,"{""src"": """", ""msg"": ""那你的token没超标""}",2024-07-03 19:00:37,零一万物大模型开放平台社区
60,7535791057850598908,文本,0,wxid_7cfn7oa19rf322,44582323162@chatroom,"{""src"": """", ""msg"": ""嗯，不知道为啥输出会被截断""}",2024-07-03 19:01:19,零一万物大模型开放平台社区
